id	min	max	sign
bb3i1	128	128	0
bb6i4	119	126	0
bb6i9	117	126	0
bb6i14	119	126	0
bb6i15	119	126	0
bb6i19	121	126	0
bb6i20	121	126	0
bb6i21	119	126	0
bb6i22	117	126	0
bb8i5	121	128	0
bb8i8	999	1022	0
bb8i11	120	127	0
bb8i13	1016	1022	0
bb8i17	1017	1024	0
bb8i18	1011	1024	0
bb11i8	119	133	0
bb11i13	116	133	0
bb11i15	95	133	0
bb11i16	115	129	0
bb11i17	117	133	0
bb11i19	94	133	0
bb11i20	118	129	0
bb11i21	119	133	0
bb11i26	119	132	0
bb11i27	119	130	0
bb11i28	119	130	0
bb11i32	115	133	0
bb11i33	115	130	0
bb11i34	115	130	0
bb11i35	119	132	0
bb11i36	115	134	0
bb11i37	115	134	0
bb11i38	115	133	0
bb11i39	116	134	0
bb11i40	116	134	0
bb12i0	116	127	0
bb12i1	90	128	0
bb12i2	115	128	0
bb12i3	101	127	0
bb12i5	96	127	0
bb12i6	109	126	0
bb12i7	103	127	0
bb12i8	102	127	0
