id	min	max	sign
bb0i8	1024	1028	0
bb0i11	1024	1031	0
bb1i4	1022	1030	0
bb1i5	1020	1028	0
bb2i5	1022	1030	0
bb2i6	1020	1028	0
bb3i4	1024	1035	0
bb3i5	1024	1035	0
bb3i8	1022	1031	0
bb3i9	1011	1031	0
bb3i12	1024	1035	0
bb3i13	1024	1035	0
bb3i15	1024	1048	0
bb3i16	999	1040	0
bb3i17	1024	1048	0
bb3i18	1024	1048	0
bb3i19	1024	1049	0
bb3i21	1024	1036	0
bb3i23	1024	1029	0
bb3i24	1024	1034	0
bb4i6	995	1022	0
bb4i9	103	127	0
bb4i12	99	126	0
bb4i13	85	126	0
bb4i17	99	126	0
bb4i18	88	126	0
bb4i19	90	126	0
bb4i21	97	126	0
bb4i22	85	126	0
bb4i24	97	126	0
bb4i25	89	126	0
bb4i26	90	126	0
bb4i27	1024	1045	0
bb4i29	998	1022	0
bb4i31	998	1022	0
bb4i33	89	126	0
bb4i34	89	126	0
bb4i35	92	127	0
bb4i36	88	126	0
bb4i37	84	126	0
bb4i38	90	127	0
bb4i39	93	135	0
bb4i40	95	135	0
bb6i1	101	135	0
bb6i3	99	135	0
