id	min	max	sign
bb0i9	1024	1026	0
bb0i10	1024	1026	0
bb0i11	1018	1018	0
bb0i12	1018	1018	0
bb2i5	1017	1026	0
bb2i7	1017	1026	0
bb2i8	1018	1018	0
bb2i10	1018	1018	0
bb2i12	1018	1027	0
bb3i0	122	122	0
bb3i2	131	131	0
bb3i5	1023	1023	0
bb3i13	1024	1026	0
bb3i14	1024	1026	0
bb5i2	1018	1026	0
bb6i0	1024	1026	0
bb7i5	1017	1026	0
bb10i7	1017	1026	0
bb10i8	1001	1018	0
bb10i12	1017	1026	0
bb10i13	998	1018	0
bb10i15	1001	1018	0
bb10i16	998	1018	0
bb12i5	1017	1026	0
bb12i6	998	1020	0
bb12i7	1003	1025	0
bb13i1	1005	1027	0
bb13i5	1003	1022	0
bb13i7	103	127	0
bb14i6	122	127	0
bb14i7	99	127	0
bb14i9	108	128	0
bb14i10	95	128	0
bb14i11	95	128	0
bb14i13	107	128	0
bb14i14	94	128	0
bb14i15	95	128	0
bb15i2	110	129	0
bb15i4	110	129	0
bb15i5	109	129	0
bb15i7	109	129	0
