id	min	max	sign
bb4i4	70	91	0
bb4i6	116	126	0
bb4i7	67	91	0
bb4i9	69	91	0
bb4i11	117	126	0
bb4i12	68	91	0
bb4i13	69	91	0
bb4i14	70	93	0
bb4i15	66	91	0
bb4i16	63	91	0
bb4i17	66	91	0
bb4i18	59	91	0
bb5i0	52	59	0
bb5i1	1	11	0
bb5i2	52	59	0
bb5i4	89	93	0
bb6i0	160	164	0
bb6i2	160	164	0
bb11i1	160	164	0
bb12i2	130	146	0
bb12i4	130	146	0
bb12i6	129	146	0
bb12i8	129	146	0
bb12i10	130	146	0
bb12i12	130	146	0
bb12i14	129	146	0
bb12i16	129	146	0
bb12i18	130	146	0
bb12i20	130	146	0
bb12i22	129	146	0
bb12i24	129	146	0
bb12i26	129	146	0
bb12i28	129	146	0
bb12i30	131	146	0
bb12i32	131	146	0
bb12i34	129	146	0
bb12i36	129	146	0
bb12i38	131	146	0
bb12i40	131	146	0
bb12i42	129	146	0
bb12i44	129	146	0
bb12i46	131	146	0
bb12i48	131	146	0
bb12i50	130	146	0
bb12i52	130	146	0
bb12i54	128	146	0
bb12i56	128	146	0
bb12i58	130	146	0
bb12i60	130	146	0
bb12i62	128	146	0
bb12i64	128	146	0
bb12i66	130	146	0
bb12i68	130	146	0
bb12i70	128	146	0
bb12i72	128	146	0
bb12i74	126	146	0
bb12i76	126	146	0
bb12i78	128	146	0
bb12i80	128	146	0
bb12i82	126	146	0
bb12i84	126	146	0
bb12i86	128	146	0
bb12i88	128	146	0
bb12i90	126	146	0
bb12i92	126	146	0
bb12i94	128	146	0
bb12i96	128	146	0
bb13i4	70	91	0
bb13i6	126	146	0
bb13i7	82	111	0
bb13i9	69	91	0
bb13i11	128	146	0
bb13i12	81	111	0
bb13i13	84	111	0
bb13i14	85	112	0
bb13i15	79	111	0
bb13i16	82	111	0
bb13i17	83	111	0
bb13i18	87	112	0
bb14i0	120	146	0
bb14i2	120	146	0
bb14i3	124	146	0
bb14i5	124	146	0
