id	min	max	sign
bb4i2	130	146	0
bb4i4	130	146	0
bb4i6	129	146	0
bb4i8	129	146	0
bb4i10	130	146	0
bb4i12	130	146	0
bb4i14	129	146	0
bb4i16	129	146	0
bb4i18	130	146	0
bb4i20	130	146	0
bb4i22	129	146	0
bb4i24	129	146	0
bb4i26	129	146	0
bb4i28	129	146	0
bb4i30	131	146	0
bb4i32	131	146	0
bb4i34	129	146	0
bb4i36	129	146	0
bb4i38	131	146	0
bb4i40	131	146	0
bb4i42	129	146	0
bb4i44	129	146	0
bb4i46	131	146	0
bb4i48	131	146	0
bb4i50	130	146	0
bb4i52	130	146	0
bb4i54	128	146	0
bb4i56	128	146	0
bb4i58	130	146	0
bb4i60	130	146	0
bb4i62	128	146	0
bb4i64	128	146	0
bb4i66	130	146	0
bb4i68	130	146	0
bb4i70	128	146	0
bb4i72	128	146	0
bb4i74	126	146	0
bb4i76	126	146	0
bb4i78	128	146	0
bb4i80	128	146	0
bb4i82	126	146	0
bb4i84	126	146	0
bb4i86	128	146	0
bb4i88	128	146	0
bb4i90	126	146	0
bb4i92	126	146	0
bb4i94	128	146	0
bb4i96	128	146	0
bb5i3	126	146	0
bb5i5	128	146	0
bb6i2	126	146	0
bb6i3	125	166	0
bb6i5	128	146	0
bb6i6	129	166	0
bb6i7	145	167	0
bb6i9	141	166	0
bb6i10	141	166	0
bb6i11	141	166	0
bb6i12	140	166	0
bb6i15	145	171	0
bb6i16	145	171	0
bb6i17	145	171	0
bb6i19	146	169	0
bb6i20	146	169	0
bb6i21	146	169	0
bb11i2	169	171	0
bb11i4	169	171	0
bb11i6	150	169	0
bb11i7	150	169	0
bb11i9	150	169	0
bb12i2	169	171	0
bb12i3	164	166	0
bb12i4	164	166	0
bb12i6	151	169	0
bb12i7	146	164	0
bb12i8	146	164	0
bb12i10	169	171	0
bb12i11	164	166	0
bb12i12	164	166	0
bb12i14	154	169	0
bb12i15	149	164	0
bb12i16	149	164	0
bb12i18	170	171	0
bb12i19	165	166	0
bb12i20	165	166	0
bb12i22	154	169	0
bb12i23	149	164	0
bb12i24	149	164	0
bb12i26	170	171	0
bb12i27	165	166	0
bb12i28	165	166	0
bb12i30	152	169	0
bb12i31	147	164	0
bb12i32	147	164	0
bb12i34	170	171	0
bb12i35	165	166	0
bb12i36	165	166	0
bb12i38	154	169	0
bb12i39	149	164	0
bb12i40	149	164	0
bb12i42	170	171	0
bb12i43	165	166	0
bb12i44	165	166	0
bb12i46	151	169	0
bb12i47	146	164	0
bb12i48	146	164	0
bb12i50	170	171	0
bb12i51	165	166	0
bb12i52	165	166	0
bb12i54	151	169	0
bb12i55	146	164	0
bb12i56	146	164	0
bb12i58	170	171	0
bb12i59	165	166	0
bb12i60	165	166	0
bb12i62	152	169	0
bb12i63	147	164	0
bb12i64	147	164	0
bb12i66	170	171	0
bb12i67	165	166	0
bb12i68	165	166	0
bb12i70	151	169	0
bb12i71	146	164	0
bb12i72	146	164	0
bb12i74	170	171	0
bb12i75	165	166	0
bb12i76	165	166	0
bb12i78	150	169	0
bb12i79	145	164	0
bb12i80	145	164	0
bb12i82	169	171	0
bb12i83	164	166	0
bb12i84	164	166	0
bb12i86	150	169	0
bb12i87	145	164	0
bb12i88	145	164	0
bb12i90	169	171	0
bb12i91	164	166	0
bb12i92	164	166	0
bb12i94	150	169	0
bb12i95	145	164	0
bb12i96	145	164	0
