id	min	max	sign
bb15i3	162	166	0
bb17i0	87	91	0
bb17i1	107	109	0
bb19i2	146	166	0
bb19i3	146	166	0
bb19i4	165	205	0
bb19i6	145	164	0
bb19i7	145	164	0
bb19i8	163	202	0
bb19i9	179	205	0
bb19i10	175	203	0
bb19i11	175	203	0
bb19i12	175	203	0
bb19i13	179	204	0
bb19i14	141	166	0
bb19i16	138	166	0
bb19i17	138	165	0
bb19i18	138	165	0
bb19i19	141	164	0
bb19i21	141	164	0
bb19i22	141	164	0
bb19i23	141	164	0
bb21i2	146	166	0
bb21i3	127	146	0
bb21i4	127	146	0
bb21i6	145	164	0
bb21i7	126	145	0
bb21i8	126	145	0
bb24i2	127	146	0
bb24i4	127	146	0
bb24i6	126	145	0
bb24i7	126	145	0
bb24i9	126	145	0
bb30i3	144	146	0
bb30i4	107	109	0
bb31i4	127	146	0
bb31i6	89	109	0
bb31i7	100	127	0
bb31i9	126	145	0
bb31i11	87	109	0
bb31i12	99	126	0
bb31i13	103	127	0
bb31i14	103	127	0
bb31i15	100	126	0
bb31i16	98	126	0
bb31i17	97	126	0
bb31i18	106	127	0
bb32i3	116	126	0
bb32i4	108	127	0
bb32i5	89	109	0
bb32i7	89	109	0
bb32i9	117	126	0
bb32i10	106	127	0
bb32i11	87	109	0
bb32i13	87	109	0
bb33i3	144	146	0
bb33i4	107	109	0
bb34i4	127	146	0
bb34i6	66	91	0
bb34i7	77	111	0
bb34i9	126	145	0
bb34i11	69	91	0
bb34i12	80	108	0
bb34i13	83	111	0
bb34i14	84	111	0
bb34i15	81	110	0
bb34i16	76	108	0
bb34i17	84	110	0
bb34i18	84	111	0
bb35i3	89	109	0
bb35i4	84	111	0
bb35i5	66	91	0
bb35i6	66	91	0
bb35i8	87	109	0
bb35i9	88	111	0
bb35i10	69	91	0
bb35i11	69	91	0
