id	min	max	sign
bb9i2	132	138	0
bb9i3	112	139	0
bb9i4	112	139	0
bb9i6	127	133	0
bb9i7	105	139	0
bb11i0	125	127	0
bb11i1	117	126	0
bb11i2	110	119	0
bb11i3	125	127	0
bb11i4	125	127	0
bb11i7	117	125	0
bb11i8	117	125	0
bb11i9	117	125	0
bb12i1	125	127	0
bb12i2	125	126	0
bb12i3	125	126	0
bb13i4	135	138	0
bb13i6	133	133	0
bb13i8	120	120	0
bb14i3	125	127	0
bb14i4	125	127	0
bb14i7	117	125	0
bb14i8	126	127	0
bb14i11	114	125	0
bb14i12	126	127	0
bb14i15	114	124	0
bb14i16	126	127	0
bb14i19	114	124	0
bb14i20	126	127	0
bb14i21	126	127	0
bb14i25	125	127	0
bb14i26	125	127	0
bb14i27	125	127	0
bb14i30	117	125	0
bb14i31	117	125	0
bb14i32	117	125	0
bb14i35	114	125	0
bb14i36	114	125	0
bb14i37	114	125	0
bb14i40	114	124	0
bb14i41	114	124	0
bb14i42	114	124	0
bb14i45	114	124	0
bb14i46	114	124	0
bb14i47	114	124	0
bb15i6	132	138	0
bb15i8	133	133	0
bb15i9	120	120	0
bb15i12	112	134	0
bb15i13	112	134	0
bb15i14	97	142	0
bb15i15	134	134	0
bb15i16	140	140	0
bb15i17	83	128	0
bb15i19	1015	1015	0
bb15i20	1008	1008	0
bb15i22	1018	1023	0
bb15i23	1004	1008	0
bb15i25	126	126	0
bb15i26	132	138	0
bb15i27	116	124	0
bb15i28	132	138	0
bb15i29	132	138	0
bb15i30	133	133	0
bb15i31	139	139	0
bb15i32	112	134	0
bb15i33	98	118	0
bb15i34	83	124	0
bb15i35	139	139	0
bb15i36	133	133	0
bb15i37	133	133	0
bb16i7	120	125	0
bb16i9	133	133	0
bb16i10	114	119	0
bb18i2	118	126	0
bb18i4	127	133	0
bb18i5	112	120	0
bb21i2	134	138	0
bb21i3	133	133	0
bb21i4	120	125	0
bb23i4	134	138	0
bb23i6	134	138	0
bb23i8	127	133	0
bb23i10	127	133	0
bb23i12	118	125	0
bb23i14	118	125	0
bb24i4	134	138	0
bb24i6	133	133	0
bb24i8	120	125	0
bb25i5	125	127	0
bb26i7	122	125	0
bb26i8	126	127	0
bb30i0	120	125	0
bb30i1	126	126	0
bb30i2	119	120	0
bb30i3	121	125	0
bb30i4	121	125	0
bb31i2	120	125	0
bb31i3	120	125	0
bb31i4	120	125	0
bb32i0	118	125	0
bb32i1	126	126	0
bb32i2	119	120	0
bb32i3	120	125	0
bb32i4	120	125	0
bb32i7	118	124	0
bb32i8	118	124	0
bb32i9	118	124	0
bb33i2	114	125	0
bb33i3	114	125	0
bb33i4	114	125	0
bb34i2	118	125	0
bb34i3	118	125	0
bb34i4	118	125	0
