id	min	max	sign
bb5i3	129	129	0
bb5i5	129	129	0
bb6i1	120	120	0
bb6i3	126	126	0
bb7i3	120	129	0
bb7i4	125	129	0
bb7i5	126	135	0
bb7i6	129	135	0
bb8i0	126	126	0
bb8i1	120	120	0
bb9i3	126	135	0
bb9i4	127	135	0
bb9i5	120	129	0
bb9i6	129	135	0
bb9i14	127	135	0
bb9i16	129	135	0
bb9i26	119	126	0
bb9i28	119	126	0
bb9i30	107	127	0
bb9i32	107	127	0
bb10i0	111	126	0
bb10i1	102	126	0
bb10i2	103	126	0
bb10i3	103	127	0
bb10i8	116	137	0
bb10i13	116	137	0
bb10i17	116	137	0
bb10i21	116	137	0
bb10i22	101	137	0
bb10i23	102	137	0
bb10i24	104	137	0
bb10i25	105	137	0
bb10i26	113	137	0
bb10i27	109	137	0
bb10i28	113	137	0
bb11i2	113	137	0
bb14i0	129	129	0
bb14i1	129	129	0
bb15i1	120	120	0
bb15i3	126	126	0
bb18i3	120	129	0
bb18i4	125	129	0
bb18i5	126	135	0
bb18i6	129	135	0
bb19i0	126	126	0
bb19i1	120	120	0
bb20i3	126	135	0
bb20i4	127	135	0
bb20i5	120	129	0
bb20i6	129	135	0
bb20i14	127	135	0
bb20i16	129	135	0
bb20i26	119	126	0
bb20i28	119	126	0
bb20i30	107	127	0
bb20i32	107	127	0
bb21i0	111	126	0
bb21i1	102	126	0
bb21i2	103	126	0
bb21i3	103	127	0
bb21i8	114	137	0
bb21i13	114	137	0
bb21i17	114	137	0
bb21i21	114	137	0
bb21i22	104	137	0
bb21i23	104	137	0
bb21i24	106	137	0
bb21i25	104	137	0
bb21i26	113	137	0
bb21i27	110	137	0
bb21i28	111	137	0
bb22i2	111	137	0
bb29i4	127	135	0
bb29i6	127	135	0
bb29i8	127	127	0
bb29i11	127	135	0
bb29i13	127	135	0
bb29i15	127	127	0
bb29i17	113	137	0
bb29i19	111	137	0
bb29i22	127	135	0
bb29i23	121	146	0
bb29i27	121	146	0
bb29i29	121	146	0
bb29i38	127	135	0
bb29i39	118	146	0
bb29i40	118	146	0
bb29i42	118	146	0
bb29i48	127	135	0
bb29i49	119	146	0
bb29i53	119	146	0
bb29i55	119	146	0
bb29i64	127	135	0
bb29i65	119	146	0
bb29i66	119	146	0
bb29i68	119	146	0
bb29i74	127	127	0
bb29i75	113	137	0
bb29i79	113	137	0
bb29i81	113	137	0
bb29i90	127	127	0
bb29i91	111	137	0
bb29i92	111	137	0
bb29i94	111	137	0
bb37i5	111	146	0
bb37i7	111	146	0
bb37i8	95	166	0
bb37i9	109	170	0
bb38i3	148	176	0
bb38i4	148	176	0
bb38i5	148	176	0
